sample_id	total_mutations	bin_label	sbs3_relative_exposure_true	recovered_exome_normalized	recovered_no_normalization	abs_error_normalized	abs_error_no_normalization	normalization_improves
SIM-02936	53	[45,55)	0.0961	0.0	0.0	0.0961	0.0961	False
SIM-02944	41	[35,45)	0.1301	0.0	0.0	0.1301	0.1301	False
SIM-02968	25	[25,35)	0.1836	0.0	0.0	0.1836	0.1836	False
SIM-03018	23	[15,25)	0.0	0.0	0.0	0.0	0.0	False
SIM-03040	57	[55,65)	0.2954	0.0	0.0	0.2954	0.2954	False
SIM-03044	20	[15,25)	0.0	0.0	0.0	0.0	0.0	False
SIM-03068	48	[45,55)	0.0	0.0	0.0	0.0	0.0	False
SIM-03080	18	[15,25)	0.0	0.0	0.0	0.0	0.0	False
SIM-03084	62	[55,65)	0.0744	0.0	0.0	0.0744	0.0744	False
SIM-03116	68	[65,75)	0.0603	0.0	0.0	0.0603	0.0603	False
SIM-03120	61	[55,65)	0.2126	0.0	0.0	0.2126	0.2126	False
SIM-03139	34	[25,35)	0.0823	0.0	0.0	0.0823	0.0823	False
SIM-03160	76	[75,85)	0.0	0.0	0.0	0.0	0.0	False
SIM-03217	78	[75,85)	0.0524	0.0	0.0	0.0524	0.0524	False
SIM-03291	95	[95,105)	0.0088	0.0	0.0	0.0088	0.0088	False
SIM-03341	48	[45,55)	0.0	0.0	0.0	0.0	0.0	False
SIM-03357	17	[15,25)	0.0549	0.0	0.0	0.0549	0.0549	False
SIM-03376	12	[5,15)	0.0	0.0	0.0	0.0	0.0	False
SIM-03377	71	[65,75)	0.279	0.0	0.0	0.279	0.279	False
SIM-03416	67	[65,75)	0.1477	0.0	0.0	0.1477	0.1477	False
SIM-03426	106	[105,116)	0.0	0.0	0.0	0.0	0.0	False
SIM-03441	83	[75,85)	0.0	0.0	0.0	0.0	0.0	False
SIM-03446	89	[85,95)	0.16	0.0	0.0	0.16	0.16	False
SIM-03453	83	[75,85)	0.0182	0.0	0.0	0.0182	0.0182	False
SIM-03479	60	[55,65)	0.2167	0.0	0.0	0.2167	0.2167	False
SIM-03546	13	[5,15)	0.0382	0.0	0.0	0.0382	0.0382	False
SIM-03587	99	[95,105)	0.2361	0.0	0.0	0.2361	0.2361	False
SIM-03644	27	[25,35)	0.1362	0.0	0.0	0.1362	0.1362	False
SIM-03649	12	[5,15)	0.0	0.0	0.0	0.0	0.0	False
SIM-03667	57	[55,65)	0.1204	0.0	0.0	0.1204	0.1204	False
SIM-03682	111	[105,116)	0.0584	0.0	0.0	0.0584	0.0584	False
SIM-03692	79	[75,85)	0.012	0.0	0.0	0.012	0.012	False
SIM-03728	34	[25,35)	0.1381	0.0	0.0	0.1381	0.1381	False
SIM-03743	51	[45,55)	0.3522	0.0	0.0	0.3522	0.3522	False
SIM-03830	47	[45,55)	0.1845	0.0	0.0	0.1845	0.1845	False
SIM-03834	54	[45,55)	0.131	0.0	0.0	0.131	0.131	False
SIM-03859	98	[95,105)	0.0903	0.0	0.0	0.0903	0.0903	False
SIM-03889	36	[35,45)	0.1136	0.0	0.0	0.1136	0.1136	False
SIM-03907	27	[25,35)	0.1946	0.0	0.0	0.1946	0.1946	False
SIM-03919	97	[95,105)	0.3024	0.0	0.0	0.3024	0.3024	False
SIM-03935	55	[55,65)	0.1066	0.0	0.0	0.1066	0.1066	False
SIM-03943	59	[55,65)	0.0483	0.0	0.0	0.0483	0.0483	False
SIM-03961	22	[15,25)	0.0117	0.0	0.0	0.0117	0.0117	False
