"tumor","exp_sig3","rat_sig3","sig_max_wl","max_wl"
"SIM-05512",6.0700286920829,0.110364158037871,"Signature_5",0.983643385413431
"SIM-05513",21.3747459799533,0.388631745090061,"Signature_3",0.99901800877115
"SIM-05514",25.5926374355394,0.393732883623684,"Signature_3",0.999999374815159
"SIM-05515",22.4671065332519,0.394159763741261,"Signature_3",0.999638455223513
"SIM-05516",35.3615443740815,0.599348209730195,"Signature_3",0.999999975656181
"SIM-05517",17.7384155166525,0.311200272221974,"Signature_3",0.804948640128553
"SIM-05518",11.4375505615538,0.170709709873937,"Signature_5",0.999812399623234
"SIM-05519",38.7783041159504,0.745736617614432,"Signature_3",0.99999999999811
"SIM-05520",19.9930861610705,0.246828224210746,"Signature_5",0.545133884749373
"SIM-05521",28.3793931030102,0.423573031388212,"Signature_3",0.999985806486997
"SIM-05522",22.0242886723664,0.431848797497381,"Signature_3",0.991076732290886
"SIM-05523",15.6287266776679,0.220122910953069,"Signature_5",0.996597238653766
"SIM-05524",27.2584804919762,0.454308008199604,"Signature_3",0.999143921641361
"SIM-05525",32.5124554990525,0.416826352551955,"Signature_5",0.997946625929836
"SIM-05526",0,0,"Signature_5",0.999699512711847
"SIM-05527",16.4803998788641,0.433694733654319,"Signature_5",0.596694343429862
"SIM-05528",30.5126137880905,0.39118735625757,"Signature_3",0.999801186864063
"SIM-05529",0,0,"Signature_5",0.999999778070233
"SIM-05530",0,0,"Signature_5",0.943027511019884
"SIM-05531",44.0251314745577,0.733752191242628,"Signature_3",0.999999999999987
"SIM-05532",14.1308171248312,0.18841089499775,"Signature_5",0.999510616248836
"SIM-05533",0,0,"Signature_5",0.984284469876551
"SIM-05534",26.4061599352983,0.498229432741477,"Signature_3",0.999934267451274
"SIM-05535",15.8085917400214,0.277343714737217,"Signature_3",0.99038290938183
"SIM-05536",3.92006703111912,0.0768640594337082,"Signature_5",0.99676955515434
"SIM-05537",28.0208508306232,0.406099287400336,"Signature_5",0.94507970475637
"SIM-05538",26.8628940308974,0.497461000572174,"Signature_3",0.988055791232557
"SIM-05539",28.8794334643232,0.412563335204617,"Signature_3",0.999453182312213
"SIM-05540",15.5551495329434,0.239309992814513,"Signature_5",0.999989921353914
"SIM-05541",5.77264882420537,0.206166029435906,"Signature_5",0.998725512261377
"SIM-05542",30.2383730753686,0.458157167808615,"Signature_3",0.999964616148498
"SIM-05543",0,0,"Signature_5",0.99999999468584
"SIM-05544",13.4443750143759,0.16198042185995,"Signature_5",0.999994148198797
"SIM-05545",32.6853889823988,0.447745054553408,"Signature_3",0.999999998072593
"SIM-05546",18.6994993794061,0.296817450466764,"Signature_3",0.992579683878031
"SIM-05547",0,0,"Signature_5",0.999849308563937
"SIM-05548",0,0,"Signature_5",0.999945761882205
"SIM-05549",10.7485321082132,0.195427856512967,"Signature_5",0.999981737047154
"SIM-05550",6.85431726541524,0.139884025824801,"Signature_5",0.584627190075654
"SIM-05551",32.0467732653606,0.53411288775601,"Signature_3",0.996233624431972
"SIM-05552",15.8113180734226,0.343724305943969,"Signature_5",0.902022246632947
"SIM-05553",16.1118164712962,0.236938477519061,"Signature_5",0.999950565535561
"SIM-05554",21.334831781625,0.435404730237245,"Signature_3",0.995931436206197
"SIM-05555",15.6657845924436,0.435160683123433,"Signature_3",0.997991534661485
"SIM-05556",0,0,"Signature_5",0.999999997512531
"SIM-05557",12.6431508160485,0.168575344213981,"Signature_5",0.852992834939446
"SIM-05558",18.8077040791034,0.257639781905526,"Signature_5",0.959293255914538
"SIM-05559",0,0,"Signature_5",0.999999999978697
"SIM-05560",33.632450181069,0.467117363625959,"Signature_3",0.999871154755568
"SIM-05561",13.6157403091953,0.209472927833773,"Signature_5",0.999999984575618
"SIM-05562",5.89649174386395,0.10344722357656,"Signature_5",0.999995437226244
"SIM-05563",0,0,"Signature_5",0.999999975764921
"SIM-05564",19.6383584568224,0.239492176302712,"Signature_5",0.996811717933736
"SIM-05565",0,0,"Signature_5",0.999999999996886
"SIM-05566",14.8446062589112,0.221561287446436,"Signature_5",0.999996838244104
"SIM-05567",0,0,"Signature_5",0.999999718541082
"SIM-05568",17.0128667101404,0.23305296863206,"Signature_5",0.999726147275489
"SIM-05569",2.39756559710692,0.0406367050357106,"Signature_5",0.999999518196717
"SIM-05570",44.4617091112541,0.592822788150055,"Signature_3",0.999999999455877
"SIM-05571",51.1624201688707,0.588073795044491,"Signature_3",0.998908496204535
"SIM-05572",16.8572022607308,0.263393785323918,"Signature_3",0.999804907768049
"SIM-05573",8.64820546752019,0.508717968677658,"Signature_3",0.981346520047832
"SIM-05574",16.0333734363246,0.239304081139173,"Signature_3",0.999999770293515
"SIM-05575",22.5922503083825,0.389521557041078,"Signature_5",0.998508029689988
"SIM-05576",11.0171443024684,0.297760656823469,"Signature_5",0.60383780393172
"SIM-05577",0,0,"Signature_5",0.999982055125904
"SIM-05578",21.9080030080689,0.300109630247519,"Signature_5",0.817894684944952
"SIM-05579",0,0,"Signature_5",0.999999961379249
"SIM-05580",0,0,"Signature_3",0.753337260889904
"SIM-05581",22.212802638825,0.352584168870238,"Signature_3",0.960729688858823
"SIM-05582",22.7231279611764,0.287634531154132,"Signature_3",0.999592858447728
